Dataset,Model,MSE,RMSE,MAE,R2
Ames Houses,Linear Regression,0.016857540522099018,0.12983659161461,0.08819817361710248,0.8932666130513696
Ames Houses,Tree Regression,0.044116131262119836,0.2100384042553167,0.14722586949612504,0.7206790573925248
Ames Houses,Random Forrest,0.01935792530841994,0.13913276144898418,0.09459729176147946,0.8774354461875553
King County Houses,Linear Regression,44964147475.789024,212047.5123074756,126948.63033079356,0.7025722625890107
King County Houses,Tree Regression,38389631580.440895,195932.72207684172,104840.40573675687,0.7460612087183438
King County Houses,Random Forrest,21462279947.04809,146500.10220831961,73027.44275965763,0.858031838193553
